workflow_name,workflow_description,trigger_type,target_type,step_order,step_name,step_description,step_type,delay_days,task_title,task_priority,email_subject,email_body_preview,letter_template,internal_note
Donor Welcome Series,Standard onboarding path for new donors after their first gift,MANUAL,CONSTITUENT,1,Send Welcome Letter,Generate a printed welcome letter to mail to the new donor,GENERATE_LETTER,0,,,,, WELCOME_LETTER,
Donor Welcome Series,Standard onboarding path for new donors after their first gift,MANUAL,CONSTITUENT,2,Wait 3 Days,Pause before sending the follow-up email,DELAY,3,,,,,, 
Donor Welcome Series,Standard onboarding path for new donors after their first gift,MANUAL,CONSTITUENT,3,Send Thank You Email,Draft a personal thank-you email to the donor,DRAFT_EMAIL,0,,,Thank You for Your Gift,Dear {{firstName}} — thank you so much for your gift. It means the world to us.,,
Donor Welcome Series,Standard onboarding path for new donors after their first gift,MANUAL,CONSTITUENT,4,Assign Follow-Up Task,Create a task for staff to call and personally thank the donor,CREATE_TASK,0,Call new donor to say thank you,NORMAL,,,,

Lapsed Donor Re-engagement,Re-engage donors who have not given in over 12 months,MANUAL,CONSTITUENT,1,Review Lapsed Donor Profile,Staff action — review the donor profile before reaching out,MANUAL_ACTION,0,Review lapsed donor profile,HIGH,,,,
Lapsed Donor Re-engagement,Re-engage donors who have not given in over 12 months,MANUAL,CONSTITUENT,2,Wait 1 Day,Short pause after review before drafting outreach,DELAY,1,,,,,,
Lapsed Donor Re-engagement,Re-engage donors who have not given in over 12 months,MANUAL,CONSTITUENT,3,Draft Re-engagement Email,Create a personalized re-engagement email draft for review,DRAFT_EMAIL,0,,,We miss you — an update from {{orgName}},Hi {{firstName}} — we haven't heard from you in a while. Here's what your past support made possible.,,
Lapsed Donor Re-engagement,Re-engage donors who have not given in over 12 months,MANUAL,CONSTITUENT,4,Add Internal Note,Record that re-engagement outreach was initiated,INTERNAL_NOTE,0,,,,,,Lapsed re-engagement sequence started

Year-End Giving Push,Annual year-end fundraising sequence for all active donors,MANUAL,CONSTITUENT,1,Draft Year-End Appeal Email,Write a year-end appeal email highlighting impact stories,DRAFT_EMAIL,0,,,Make a difference before December 31,Dear {{firstName}} — the year is almost over. Your gift today will help us reach our goal.,,
Year-End Giving Push,Annual year-end fundraising sequence for all active donors,MANUAL,CONSTITUENT,2,Generate Year-End Letter,Create a printed year-end appeal for donors who prefer mail,GENERATE_LETTER,0,,,,, YEAR_END_APPEAL,
Year-End Giving Push,Annual year-end fundraising sequence for all active donors,MANUAL,CONSTITUENT,3,Wait 5 Days,Allow time for the first appeal to be received before following up,DELAY,5,,,,,,
Year-End Giving Push,Annual year-end fundraising sequence for all active donors,MANUAL,CONSTITUENT,4,Send Reminder Task,Assign a task to staff to personally follow up with major gift prospects,CREATE_TASK,0,Follow up on year-end appeal,HIGH,,,,

Event Follow-Up Stewardship,Post-event thank-you and engagement workflow for event attendees,MANUAL,CONSTITUENT,1,Send Thank You Email,Draft a post-event thank-you email to send to attendees,DRAFT_EMAIL,0,,,Thank you for joining us at {{eventName}},Hi {{firstName}} — it was wonderful to see you at our event. Your presence and support truly made it special.,,
Event Follow-Up Stewardship,Post-event thank-you and engagement workflow for event attendees,MANUAL,CONSTITUENT,2,Wait 7 Days,Brief pause before sharing event impact,DELAY,7,,,,,,
Event Follow-Up Stewardship,Post-event thank-you and engagement workflow for event attendees,MANUAL,CONSTITUENT,3,Share Event Impact Update,Follow up with an impact report or photo recap,DRAFT_EMAIL,0,,,Look what we accomplished together,Hi {{firstName}} — here's a look at what your support at our recent event made possible.,,
Event Follow-Up Stewardship,Post-event thank-you and engagement workflow for event attendees,MANUAL,CONSTITUENT,4,Schedule Stewardship Call,Assign a task to call top attendees within 30 days,CREATE_TASK,0,Call event attendee for stewardship,NORMAL,,,,
